Timestamp,Age ,Gender,Educational Background,"Do you regularly use AI tools (e.g., ChatGPT, Grammarly)","If yes, how often?",What tasks do you use AI for? ,"On a scale of 1–5, how dependent do you feel on AI?","Without using AI, write a paragraph :
""If the internet disappeared tomorrow, how would your life change?""
Please write without AI assistance. This helps us measure natural creativity and mental effort.",Were you aware that AI could generate write-ups?,How mentally tiring was the task?,How confident are you in your originality?,Were you tempted to use AI while writing?,Do you feel AI has reduced your own creativity?
7/25/2025 6:15:30 PM GMT+5:30,31,Female,Postgraduate / PhD,Yes,Multiple times a day,Writing;Research;Coding,3,"- I will make the maximum use of internet today.
- I will wait for day after tomorrow.
- All my fake IDs (angel priya) will be of no use.
- Days will be easier but nights would be so long.
- Bluetooth era will come again (nostalgia).",yes,4,10,Yes,Yes
7/25/2025 11:22:07 AM GMT+5:30,42,Male,Postgraduate / PhD,Yes,Multiple times a day,Writing;Research;Coding;Academic Work,3,Intenet plays crucial role and i feel if it disappears tomorrow it can affect half of our youth there are cons and prons for this cons are most of scams will be reduced and prons are this will affect somehow in studies researches which we feel ai has made easier for everybody who has its access. My life will be like both i am dependent on this just for my work not entirely but yea so it will affect me but less.,yes,1,7,Yes,Yes
7/25/2025 12:03:06 PM GMT+5:30,21,Male,Undergraduate,Yes,Multiple times a day,Coding;Brainstorming,3,"My education system has provided me enough knowledge and skills about not being dependent too much on internet.Tge additional knowledge required freelyvib librAry books etc.,though internet really helps,the human creativity and application of knowledge is still relevant ",No,4,10,Yes,Yes
7/25/2025 11:44:56 AM GMT+5:30,49,Male,Postgraduate / PhD,Yes,A few times a week,Writing;Research,2,I think now life becomes difficult wiyhout AI,yes,2,9,Yes,Yes
7/25/2025 4:19:33 PM GMT+5:30,22,Male,Graduate,Yes,Once a day,Writing;Research,2,"It would be really great ,all those hectic and eye strain will reduce although it will negatively impact my workflow but ,screen time will reduce and brain and eyes will feel more relaxed and calm . It would be great i will not more lonely and separated. Real interaction and real life meetings will increase , so yeah i am in favour of internet dissappear.However, the time required for works in every field will increase so much as internet is accessible anywhere and can be used anytime ,it is almost used in every field even the non-tech fields today, at the end i want to say i would be more happy and healthy if the internet disappears.",yes,1,8,No,No
7/25/2025 1:54:50 PM GMT+5:30,23,Female,Graduate,Yes,Multiple times a day,Writing;Research;Brainstorming,3,If the internet disappeared tomorrow my life would be very different as all my work depends on the internet and I won’t be able to talk to my friends and family on video which would be very difficult for me,yes,1,8,Yes,Yes
7/25/2025 12:07:05 PM GMT+5:30,21,Male,Undergraduate,No,,,2,It is unimaginable. ,yes,8,8,No,Yes
7/25/2025 5:37:48 PM GMT+5:30,21,Male,Undergraduate,No,,,1,"If the internet were to disappear tomorrow, the sky would be bluer, the flowers would finally give off a fragrance and I would see the world a bit better. Internet is an essential part of our daily lives, one such that without it today I would definitely feel handicapped. Yet I can’t help but ponder how significantly my lifestyle would change if it becomes non-existential. Maybe i would devote more time to things i dont get time for or to things i gave up on completely. But maybe i would get bored out of my mind. Maybe i would be more creative, energetic, and lively. But then again maybe, things would get rather complicated than getting simpler just due to the fact that now i am used to the comfort of getting things one tap away. All in all, the idea of internet not being anymore is a hypothetical one consider how fast paced we race towards technology and new developments everyday. It is still an interesting question to wonder about, “what was life like before it ever existed? How was it different? And how different it will be after when it is gone” If we think about it, the future generations are going yo grow up with AI and maybe one day they will write a paragraph on how life would be if AI dissappeared. They will wonder how we managed it, but they wouldnt be able to imagine their own world without it. Or maybe they would struggle to write the paragraph itself because it would be forgotten we could write too, that we are capable of efforts too without asking a machine for every small detail. And yet you cant blame the machine that was invented to bring us that confort in the very first place.",No,1,8,Yes,Yes
7/25/2025 12:54:59 PM GMT+5:30,18,Male,Undergraduate,Yes,Rarely,Writing;Coding,1,K,yes,1,2,Yes,Maybe
7/25/2025 11:46:20 AM GMT+5:30,47,Male,Postgraduate / PhD,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,3,"Losing the internet would feel like stepping into a different century. I’d have to rethink everything: how I learn, how I communicate, and even how I relax. Online classes, job portals, video calls—they’d all vanish. I’d miss my favorite podcasts and the ability to look up anything on a whim. But perhaps I’d finally finish those unread books and have deeper conversations. My social world would shrink, but maybe it would become more meaningful. I’d need to be more resourceful, and likely more patient. Life would slow down dramatically, forcing me to live more deliberately, one moment at a time.",No,1,10,Yes,Maybe
7/25/2025 6:22:01 PM GMT+5:30,19,Male,Undergraduate,Yes,Once a day,Coding,2,"If the internet disappeared tomorrow, life will get so unexpected and unreal for some time but with the time the life will get adopt that too.",No,1,10,No,Maybe
7/25/2025 12:05:09 PM GMT+5:30,19,Male,Undergraduate,Yes,Multiple times a day,Research;Brainstorming,4,I have to write many emails so productivity would get low as then i have to check many times about punctuation error etc,yes,2,10,Yes,Maybe
7/25/2025 5:08:04 PM GMT+5:30,19,Male,Undergraduate,Yes,Multiple times a day,Research,3,"Internet has become such a significant part of our lives that if it were to disappear tomorrow, it will make the normal life very difficult for me especially when it comes to online payments and searching the web to look for some information. However it will do some good for as well such as scrolling addiction will come to a stop and rather than brainrot, I will actually have time and energy to go into nature which would be beneficial for my health as well as career. So overall if will not be as bad as I think. I atleast hope so.",yes,6,8,No,No
7/25/2025 5:00:09 PM GMT+5:30,19,Male,Undergraduate,Yes,Multiple times a day,Research,3,"Life would be  a choas for a while as we are dependent on it for everyday activity. But after a while when we sit in chaos, we start reflecting on it and we start observing the small things that make life life.",yes,4,3,Yes,Yes
7/25/2025 4:27:32 PM GMT+5:30,43,Female,Postgraduate / PhD,Yes,A few times a week,Information ,5,"If Internet is desepeare communication is slow down Education, work, and businesses would move back to offline systems, Although the initial days would be confusing and difficult to spent time without internet.",yes,7,5,No,Yes
7/25/2025 11:21:44 AM GMT+5:30,21,Female,Undergraduate,Yes,A few times a week,Writing;Research;Coding;Brainstorming,3,"If the internet disappeared, it would definitely change everyone's life in both negative and positive ways. Disconnect from social world resulting to isolated environment where people do not have means to share information to large scale. This situation will totally degrade the value of technologies we are using with internet facility. Positive aspect is that people waste a lot of time using internet for exploring outer world, disappeared internet facility gives more time to explore inner world by connecting to our true being and focusing on self-growth.  ",No,5,10,Yes,Yes
7/25/2025 11:24:16 AM GMT+5:30,21,Male,Undergraduate,Yes,Multiple times a day,Brainstorming,3,"- I will make the maximum use of internet today.
- I will wait for day after tomorrow.
- All my fake IDs (angel priya) will be of no use.
- Days will be easier but nights would be so long.
- Bluetooth era will come again (nostalgia).",yes,10,10,No,Yes
7/25/2025 12:44:27 PM GMT+5:30,21,Male,Undergraduate,Yes,Multiple times a day,Research,3,"If internet disappeared tomorrow, it would drastically change our lives. No internet, no social media, everything would just stop. Systems will crash, people will be disconnected, society and economies will fall.",yes,10,10,No,No
7/25/2025 6:34:08 PM GMT+5:30,52,Female,Postgraduate / PhD,No,,,3,I think life becomes more difficult and hard if internet disappeared ,yes,3,10,No,Yes
7/25/2025 4:01:14 PM GMT+5:30,26,Male,Graduate,Yes,Multiple times a day,Writing,3,Very less to minimal changes ,yes,5,10,Yes,Yes
7/25/2025 6:49:52 PM GMT+5:30,52,Male,Postgraduate / PhD,No,,,3,...jhahb,yes,6,10,Yes,Yes
7/25/2025 11:55:18 AM GMT+5:30,19,Male,Undergraduate,Yes,Once a day,Coding;Brainstorming,5,"Completely different lifestyle, would be focused more onto the real life activities than spending time on screens.",yes,5,10,No,Yes
7/25/2025 6:32:05 PM GMT+5:30,24,Female,Undergraduate,Yes,Multiple times a day,Writing;Research,3,It will be difficult ,yes,7,9,Yes,Maybe
7/25/2025 5:08:04 PM GMT+5:30,48,Male,Postgraduate / PhD,No,,,2,"If the internet disappeared tomorrow, it would be a sudden change, difficult to digest but if we look at the bigger picture life would become alot more peaceful and serene. People would go back to the traditional ways connecting with nature and the people around them which is the conventional way. ",yes,8,10,No,No
7/25/2025 4:56:56 PM GMT+5:30,18,Female,Undergraduate,Yes,Multiple times a day,Research;Coding;Brainstorming,4,"If the internet disappeared, it would definitely change everyone's life in both negative and positive ways. Disconnect from social world resulting to isolated environment where people do not have means to share information to large scale. This situation will totally degrade the value of technologies we are using with internet facility. Positive aspect is that people waste a lot of time using internet for exploring outer world, disappeared internet facility gives more time to explore inner world by connecting to our true being and focusing on self-growth.  ",yes,5,5,No,Yes
7/25/2025 1:02:02 PM GMT+5:30,26,Female,Graduate,Yes,A few times a week,Writing;Research;Brainstorming,3,"In this fast paced age of ever changing technology one can hardly imagine a life without the internet. Our lives have become so dependable on the internet that we use it even for the smallest thing. So to imagine a life without it is nearly impossible, one will suddenly feel lost and all the things which run because of the internet will loose their utility. It is because of the internet that we have been able to change the world into a global village therefore if the internet isn't there, not just our personal lives but the whole world will come to a standstill.",yes,2,8,Yes,Yes
7/25/2025 2:20:13 PM GMT+5:30,21,Male,Undergraduate,Yes,Multiple times a day,Writing;Coding,3,"I'll advise you if you need more responses, keep it short, people won't fill out your forms for 100 words. They simply dont have time.",yes,5,5,Yes,Yes
7/25/2025 5:39:16 PM GMT+5:30,21,Female,Undergraduate,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,3,"If the internet disappeared tomorrow, my life definitely wont be the same . Most of my life whether social or educational is highly dependant on internet so ofcourse that would be the first area that would be effected . I honestly find it really hard to imagine a life without internet but i somehow believe it would be calmer . ",yes,4,10,No,No
7/25/2025 3:45:55 PM GMT+5:30,26,Male,Graduate,Yes,Multiple times a day,Writing;Research;Coding;Academic Work,4,"I'll advise you if you need more responses, keep it short, people won't fill out your forms for 100 words. They simply dont have time.",yes,6,5,No,Yes
7/25/2025 6:02:06 PM GMT+5:30,21,Female,Undergraduate,Yes,A few times a week,Research,3,"Someone's who's into digital marketing, it would make much difference in my life but it ain't because of AI much",yes,7,8,No,Yes
7/25/2025 3:53:07 PM GMT+5:30,26,Female,Graduate,Yes,Multiple times a day,Writing;Research,3,"This would have a huge impact on anyone in todays generation . We talk to our friends more often on internet than meeting physically . We consume a lot of content either educational , motivational or studies from the Internet . Most of people follow e books or notes rather then studying from bulky books ",yes,3,8,Yes,Yes
7/25/2025 3:32:02 PM GMT+5:30,31,Male,Postgraduate / PhD,Yes,Once a day,Writing;Research;Coding,5,Life will change and tend to become like the old stories we read in books . ,yes,7,7,Yes,Maybe
7/25/2025 6:50:15 PM GMT+5:30,21,Male,Undergraduate,Yes,A few times a week,Writing,3,I will become cobra,yes,6,7,Yes,Yes
7/25/2025 11:15:28 AM GMT+5:30,52,Female,Postgraduate / PhD,Yes,Multiple times a day,Brainstorming,2,"If internet disappears tomorrow, things might be slower because of us being used to use it several times a day. But, I will manage it by shifting my focus towards the things i usually pay zero attention to. I believe without internet it would be more peaceful and present in our real lives and nothing’s more good than that.",yes,6,10,Yes,Yes
7/25/2025 5:50:16 PM GMT+5:30,19,Female,Undergraduate,Yes,A few times a week,Writing;Research;Coding;Brainstorming,3,"If the internet disappeared tomorrow firstly it would he very difficult for me to realise that this really happened honestly i will freak out and make myself believe that this really happened in the morning first thing after i get freshened up i check my phone WhatsApp Instagram and other social media platforms my messages calls from family friends and others firstly that thing will be gone no connection with any of my mutuals so that will kinda hurt me a lil that i connect with my freind and family members who live far from me or abroad and there will be no entertainment stuff like youtube, Netflix and other streaming platforms and i cant use any online facilities like ordering food from zomato or grocery from blinkit and i can use upi to pay all the knlinw paying system will die so first i would not be able to realise that from now onwards i cant use this all things and to be honest not just me anyone else will also be not able to believe that this is really happening like in the year 2026 the world is completely running on internet all the multi billion dollar businesses are running on internet if internet would be gone there would be no life for me because in today modern world all of us are fully dependent on internet and like my life will be better in terms of like i would know my city better i would spend time reading books and watching the sun and nature more which is also nice but in today world like life is fully dependent on internet it is still difficult to live without internet so it would be difficult for me to survive properly without internet like it would take lot of time for me to get habitual without internet so in the last i would say that we all know we are fully dependent on internet and everyone else will also agree with me that internet also makes things easy so life without internet is something which i cannot imagine ",yes,4,8,No,No
7/25/2025 6:32:37 PM GMT+5:30,17,Female,High school or below,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,3,If talking about life without internet that is going to be too damn difficult because starting from how I will reach my work place to talking to my friends I need it everyday internet is like a basic necessity if we don't have recharge for a day the dsy goes too damn slow not because we don't want to work or anything because all the work is dependent on it and I think my work would not exist without internet as what would I do of the websites if no one is going to use or have access to it,yes,5,10,Yes,Maybe
7/25/2025 4:16:50 PM GMT+5:30,20,Male,Undergraduate,Yes,A few times a week,Writing;Research;Brainstorming;,3,It will be difficult ,yes,2,9,Yes,Maybe
7/25/2025 1:52:20 PM GMT+5:30,21,Female,Undergraduate,Yes,Multiple times a day,Writing;Research;Coding;Brainstorming,4,...jhahb,yes,9,8,Yes,Yes
7/25/2025 4:29:26 PM GMT+5:30,21,Male,Graduate,Yes,Rarely,Brainstorming,1,"If the internet disappeared tomorrow firstly it would he very difficult for me to realise that this really happened honestly i will freak out and make myself believe that this really happened in the morning first thing after i get freshened up i check my phone WhatsApp Instagram and other social media platforms my messages calls from family friends and others firstly that thing will be gone no connection with any of my mutuals so that will kinda hurt me a lil that i connect with my freind and family members who live far from me or abroad and there will be no entertainment stuff like youtube, Netflix and other streaming platforms and i cant use any online facilities like ordering food from zomato or grocery from blinkit and i can use upi to pay all the knlinw paying system will die so first i would not be able to realise that from now onwards i cant use this all things and to be honest not just me anyone else will also be not able to believe that this is really happening like in the year 2026 the world is completely running on internet all the multi billion dollar businesses are running on internet if internet would be gone there would be no life for me because in today modern world all of us are fully dependent on internet and like my life will be better in terms of like i would know my city better i would spend time reading books and watching the sun and nature more which is also nice but in today world like life is fully dependent on internet it is still difficult to live without internet so it would be difficult for me to survive properly without internet like it would take lot of time for me to get habitual without internet so in the last i would say that we all know we are fully dependent on internet and everyone else will also agree with me that internet also makes things easy so life without internet is something which i cannot imagine ",yes,6,10,No,Maybe
7/25/2025 12:12:54 PM GMT+5:30,20,Male,Undergraduate,Yes,Multiple times a day,Writing;Research;Coding,3,"If the internet vanished tomorrow, I’d fully spiral, just vibes and silence. Spotify gone. YouTube gone. Chaos.  Sure, maybe I’d touch grass or whatever, but I’d be pissed about it the entire time.
And since, i’m studying tech, not basket weaving. So without the internet?  that takes  forever.Networking? Gone. Keeping up with new tech or skills? Basically impossible. It’s not just about convenience—it’s my entire damn career path. Sure, maybe I’d adapt, but it’d be hard.",yes,3,8,Yes,Yes
7/25/2025 1:46:29 PM GMT+5:30,32,Male,Graduate,Yes,Once a day,Writing,2,"Someone's who's into digital marketing, it would make much difference in my life but it ain't because of AI much",yes,1,9,No,No
7/25/2025 11:42:38 AM GMT+5:30,26,Male,Graduate,Yes,A few times a week,Coding;Brainstorming,3,Not possible ,yes,3,10,Yes,No
7/25/2025 11:33:43 AM GMT+5:30,21,Male,Undergraduate,Yes,Once a day,Writing;Research,3,"If the internet disappeared tomorrow, my life becomes a boon for me,but at a same time it also feel curse anywhere without internet. Without internet I can fully focused on my work and try to brainstorm more on the topics and their questions. My creativity and critical thinking are on peak if interest disappeared tomorrow. Also I feel secured and less distracted as no internet means no social media which doesn't make me distract and feel some kind of insecurity to me. I can meet my friends or if any client or interviewer face to face which gives me more knowledge related to the field where I go work or buisness meetings requirements by opposition and also main point through their facial expressions and body language,I can understand their intution,their behaviour and their needs and wants properly which helps me to go according to it or not. Now every coin has it's two sides, we talk about boon side and now curse side. Without internet, I can't communicate with people who are very far away from us with no telephone requirement there,also online meeting with that client who live in another country can't be possible. Also without internet I and other people can't do online shoping, attend any course or lecture as a student and also in today's world Internet is the great source of knowledge and information,so if it disappeared I can't get all the information which makes me feel backward from people. Without this I can't transfer the money direct to another one who live anywhere. So, at the end, I say that internet in today's world is our main requirement. Without this I can survive somewhere very easily but at somewhere I cannot survive in the society in a fully manner.",yes,6,10,No,No
7/25/2025 11:35:00 AM GMT+5:30,41,Male,Postgraduate / PhD,No,,,5,"If the internet disappeared tomorrow, the first thing that would change in my life is ________.
I usually use the internet for ________, so my daily routine would become ________.
Studying or doing homework would be ________ because ________.
I would communicate with friends and family by ________ instead of ________.
At first I would feel ________, but later I might ________.
One good/bad effect of this change would be ________.",yes,5,5,No,Yes
2025/07/26 11:49:13 AM GMT+5:30,20,Male,Undergraduate,Yes,A few times a week,Writing;Research,4,"Most of the technology is based on AI. Things like google, chat gpt and others AI apps can help young peers to go through their subjects if internet disappears we will be completely numb as most of the people use their internet to access things globally markets will shut down whole world will go 1000 year back.",yes,10,10,No,maybe
7/25/2025 1:31:57 PM GMT+5:30,18,Female,Undergraduate,Yes,Once a day,Brainstorming,2,"Internet connects us all , it has intervined with our life's like our biological processes .
From waking up to closing our day off internet connects us all.
Even the Google form i am currently filling is possible due to internet connection. 
It has made our huge globe into a small family. Weather reports to commute to communication to education to work life are all heavily based on internet.",No,2,10,No,No
7/25/2025 1:47:44 PM GMT+5:30,19,Male,Undergraduate,Yes,Rarely,Writing;Research;Coding;Brainstorming,5,Very less to minimal changes ,yes,5,10,No,Yes
7/25/2025 4:33:03 PM GMT+5:30,21,Male,Graduate,Yes,Once a day,Writing;Research;Coding;Brainstorming,2,"If internet disappeared tomorrow, it would drastically change our lives. No internet, no social media, everything would just stop. Systems will crash, people will be disconnected, society and economies will fall.",yes,1,8,Yes,Yes
7/25/2025 4:31:15 PM GMT+5:30,27,Male,Graduate,Yes,Multiple times a day,Coding,4,"The life will go to good old days when the work was only about producing output which were tangible. The work culture is going to change where the research , education , academics and other forms of jobs/service will be done only in physical mode. We will again have friends in physical format rather than the ones we have over FB , Instagram etc. rather than visiting the places online , we will start going to the places for real. Online shopping will go and visit to groceery stores, markets will flow again. Banks and Post offices will be flooded with people again . Transactions will be done with actual currency notes. So it has its own advantages and disadvantages. ",yes,7,10,Yes,Yes
7/25/2025 5:00:53 PM GMT+5:30,18,Female,Undergraduate,Yes,Multiple times a day,Writing;Research;Coding;Academic Work,4,Life will change and tend to become like the old stories we read in books . ,yes,5,10,Yes,Maybe
7/25/2025 4:46:34 PM GMT+5:30,49,Male,Postgraduate / PhD,Yes,A few times a week,Writing,2,"In the age of internet everything is on your fingertips which is really convenient but the major blessings and curse is hyperconnectivity, We are connected with each other all the time and that is exactly what is making it tough for us to be creative on our own. History's most Creative People have gone through Boredom to create something truly magnificent yet Boredom is the most evil things seen today in this day and age because of Internet. Internet has truly provided us with huge opportunities in life but it's the very thing that is the cause of a lot of problems in our life, but again, Internet is just a tool, just like weapons, used by the wrong person, it is self destructive, Used by the right person, it is a blessing, so if it disappears tomorrow, a Hyper connectivity would go away, So I will connect with more people and be more creative in my life but convenience would also go away and life would become a lot slower and slower is the exact word, My generation Hates.",yes,8,8,No,Maybe
7/25/2025 3:37:17 PM GMT+5:30,21,Male,Graduate,No,,,2,If internet disappeared tomorrow I will not be able to do my daily chores that basicallly includes attending my online training course and also my daily phone usage  will get a steep  decrease and I guess my life would really get a sense of boredom,No,1,10,No,Yes
7/25/2025 5:39:42 PM GMT+5:30,33,Female,Graduate,Yes,Once a day,Research,2,"It would be really great ,all those hectic and eye strain will reduce although it will negatively impact my workflow but ,screen time will reduce and brain and eyes will feel more relaxed and calm . It would be great i will not more lonely and separated. Real interaction and real life meetings will increase , so yeah i am in favour of internet dissappear.However, the time required for works in every field will increase so much as internet is accessible anywhere and can be used anytime ,it is almost used in every field even the non-tech fields today, at the end i want to say i would be more happy and healthy if the internet disappears.",yes,8,5,No,Yes
7/25/2025 3:51:58 PM GMT+5:30,30,Male,Graduate,Yes,Once a day,Research,3,"My life would switch upside down. Right now everything I do during the day is linked to the internet in one way or the other. Be it be online education, online entertainment, games, connection with my friends and close ones and the list goes on. So it'll be a new experience. Of course adapting to the same will take time but I believe it will take the world towards a better future",yes,6,7,No,Yes
7/25/2025 3:53:47 PM GMT+5:30,19,Female,Undergraduate,Yes,Multiple times a day,Writing;Coding;Brainstorming,4,It will be difficult ,yes,4,8,Yes,Yes
7/25/2025 11:09:19 AM GMT+5:30,44,Female,Postgraduate / PhD,Yes,Once a day,Writing;Research;Brainstorming,3,It's very difficult to write 100-150 words a paragraph without using AI. You can write simple sentences on it. ,No,5,5,No,Yes
7/25/2025 1:12:44 PM GMT+5:30,21,Male,Undergraduate,No,,,3,"If internet disappeared tomorrow, it would drastically change our lives. No internet, no social media, everything would just stop. Systems will crash, people will be disconnected, society and economies will fall.",yes,3,6,No,Yes
7/25/2025 12:03:06 PM GMT+5:30,21,Female,Undergraduate,Yes,Multiple times a day,Coding,4,"If the internet disappeared tomorrow, life will get so unexpected and unreal for some time but with the time the life will get adopt that too.",yes,5,10,Yes,Maybe
7/25/2025 6:30:42 PM GMT+5:30,20,Female,Undergraduate,Yes,Multiple times a day,Writing;Research;Brainstorming,3,"My life would become a little different from what it is now. The evolution of technology has made everyone a little dependent on internet for browsing stuff. Sometimes I do become lethargic and depend on AI for completing tasks that require brainstorming. Vanishing of internet, will encourage me to use more of my own ideas and have individuality over my work. However, life would become a little difficult without the existence of internet. ",No,1,10,No,Yes
7/25/2025 6:47:56 PM GMT+5:30,21,Female,Graduate,Yes,Multiple times a day,Coding,4,If the internet disappeared tomorrow my life would be very different as all my work depends on the internet and I won’t be able to talk to my friends and family on video which would be very difficult for me,yes,3,10,Yes,Yes
7/25/2025 5:26:22 PM GMT+5:30,19,Female,Undergraduate,Yes,Multiple times a day,Writing;Research,4,It would be difficult for us to live,yes,6,7,Yes,Maybe
7/25/2025 11:35:32 AM GMT+5:30,38,Male,Postgraduate / PhD,Yes,Rarely,Writing;Research,2,K,No,5,10,No,No
7/25/2025 12:19:33 PM GMT+5:30,43,Male,Postgraduate / PhD,No,,,5,"As we frequently use web or other applications daily, so without internet a deep impact on emotions may impact.",No,1,10,No,Yes
7/25/2025 1:58:56 PM GMT+5:30,21,Male,Undergraduate,Yes,Multiple times a day,Writing;Research;Brainstorming,4,I think now life becomes difficult wiyhout AI,yes,3,9,No,No
7/25/2025 11:09:11 AM GMT+5:30,25,Male,Undergraduate,Yes,Multiple times a day,Writing;Research;Brainstorming,3,It's very difficult to write 100-150 words a paragraph without using AI. You can write simple sentences on it. ,No,1,5,No,Yes
7/25/2025 5:16:35 PM GMT+5:30,18,Male,Undergraduate,Yes,Once a day,Writing,2,I feel that it will take a little while to get back to thinking everything by myself like we were doing just a couple years back and without help of AI tools yet there might still be a lack of widen horizon of thinking ,yes,1,10,No,No
7/25/2025 2:26:30 PM GMT+5:30,24,Female,Undergraduate,Yes,Multiple times a day,Brainstorming,3,I won't be able to masturbate as I am heavely dependent on porn. If porn disapperaed from my life I will be raping girls as my friend nitin do. I will become like him. I think most people watch porn for their self satisfaction but without porn self satisfaction will be difficult and I will rape girls. Follow my friend nitin!!!,No,5,3,No,Yes
7/25/2025 1:16:55 PM GMT+5:30,24,Male,Undergraduate,No,,,1,"If the internet suddenly disappeared, the world would be a very different place. We would have to find new ways to communicate, learn, work, and entertain ourselves.
Without the internet, we would have to rely on traditional methods of communication, such as phone calls, letters, and face-to-face conversations. This would make it more difficult to stay in touch with friends and family who live far away. It would also make it more difficult to do business, as many companies now rely on the internet to communicate with customers and suppliers.
Without the internet, we would have to find new ways to learn. We could go to libraries or bookstores to find books and other resources. We could also take classes at local schools or community centers. However, it would be more difficult to access the vast amount of information that is available online.
Without the internet, many people would be unable to work. This is because many jobs now require employees to have access to the internet. For example, many people work in online customer service, sales, or marketing. Others work as programmers, web designers, or social media managers.
If the internet suddenly disappeared, it would take some time for people to adjust. However, humans are adaptable creatures and we would eventually find ways to cope. We would find new ways to communicate, learn, work, and entertain ourselves.
People would start using traditional methods of communication, such as phone calls, letters, and face-to-face conversations.
People would go to libraries and bookstores to find books and other resources.
People would find new ways to entertain themselves, such as watching TV, listening to the radio, reading books, going to the movies, concerts, or sporting events.
It would be a challenging time, but people would eventually adapt and find ways to thrive in a world without the internet.",yes,4,10,No,Maybe
7/25/2025 4:00:21 PM GMT+5:30,33,Male,Graduate,Yes,A few times a week,Writing;Research;Coding;Brainstorming,2,"I would feel lost without the internet, No ways to chat with friends, no instant news or updates, and no quick answers for any of my questions. Internet is now an essential part of our life. But, life goes on so I would try to mend myself to the new lifestyle without the internet",yes,4,10,No,Maybe
7/25/2025 4:57:29 PM GMT+5:30,21,Female,Graduate,Yes,A few times a week,Writing,5,It's very difficult to write 100-150 words a paragraph without using AI. You can write simple sentences on it. ,yes,2,8,No,No
7/25/2025 2:40:58 PM GMT+5:30,21,Male,Undergraduate,Yes,Once a day,Writing;Research,5,"It would be a drastic change as I am very dependent on the internet for versus things which as study’s, entertainment, and many other aspects ",yes,9,9,No,Yes
7/25/2025 10:58:58 AM GMT+5:30,19,Male,Undergraduate,No,,,2,It would be difficult for us to live,yes,1,8,No,Yes
7/25/2025 2:34:42 PM GMT+5:30,23,Female,Graduate,Yes,Once a day,Brainstorming,2,I cant,yes,1,10,Yes,Maybe
7/25/2025 5:01:25 PM GMT+5:30,52,Female,Postgraduate / PhD,Yes,Once a day,Research,2,"Life would be  a choas for a while as we are dependent on it for everyday activity. But after a while when we sit in chaos, we start reflecting on it and we start observing the small things that make life life.",yes,2,7,Yes,Yes
7/25/2025 5:54:17 PM GMT+5:30,45,Male,Postgraduate / PhD,Yes,Multiple times a day,Writing,3,"If internet disappeared tomorrow, it would drastically change our lives. No internet, no social media, everything would just stop. Systems will crash, people will be disconnected, society and economies will fall.",No,5,5,No,Maybe
7/25/2025 3:42:45 PM GMT+5:30,21,Female,Undergraduate,Yes,Multiple times a day,Research,4,It will be difficult ,yes,3,10,Yes,Maybe
7/25/2025 5:03:46 PM GMT+5:30,27,Female,Graduate,Yes,Once a day,Writing;Research;Coding,3,...jhahb,yes,1,8,Yes,Yes
7/25/2025 3:04:09 PM GMT+5:30,20,Female,Undergraduate,Yes,Multiple times a day,Brainstorming,3,"Life would be  a choas for a while as we are dependent on it for everyday activity. But after a while when we sit in chaos, we start reflecting on it and we start observing the small things that make life life.",yes,9,4,Yes,Maybe
7/25/2025 12:21:06 PM GMT+5:30,52,Male,Postgraduate / PhD,Yes,A few times a week,Brainstorming,2,I cant,No,1,10,No,Yes
7/25/2025 2:18:37 PM GMT+5:30,19,Female,Undergraduate,Yes,Multiple times a day,Writing,4,"If the internet suddenly disappeared, the world would be a very different place. We would have to find new ways to communicate, learn, work, and entertain ourselves.
Without the internet, we would have to rely on traditional methods of communication, such as phone calls, letters, and face-to-face conversations. This would make it more difficult to stay in touch with friends and family who live far away. It would also make it more difficult to do business, as many companies now rely on the internet to communicate with customers and suppliers.
Without the internet, we would have to find new ways to learn. We could go to libraries or bookstores to find books and other resources. We could also take classes at local schools or community centers. However, it would be more difficult to access the vast amount of information that is available online.
Without the internet, many people would be unable to work. This is because many jobs now require employees to have access to the internet. For example, many people work in online customer service, sales, or marketing. Others work as programmers, web designers, or social media managers.
If the internet suddenly disappeared, it would take some time for people to adjust. However, humans are adaptable creatures and we would eventually find ways to cope. We would find new ways to communicate, learn, work, and entertain ourselves.
People would start using traditional methods of communication, such as phone calls, letters, and face-to-face conversations.
People would go to libraries and bookstores to find books and other resources.
People would find new ways to entertain themselves, such as watching TV, listening to the radio, reading books, going to the movies, concerts, or sporting events.
It would be a challenging time, but people would eventually adapt and find ways to thrive in a world without the internet.",yes,2,10,Yes,Yes
7/25/2025 5:48:54 PM GMT+5:30,52,Male,Postgraduate / PhD,Yes,Multiple times a day,Writing;Coding,3,I feel that it will take a little while to get back to thinking everything by myself like we were doing just a couple years back and without help of AI tools yet there might still be a lack of widen horizon of thinking ,yes,10,8,No,Yes
